Sr. no. ,Long,Lat,Time
1,72.97493555,19.18543743,1
2,72.97490497,19.18543161,1
3,72.97488351,19.18544351,1
4,72.97486206,19.18543439,1
5,72.97482933,19.18543009,1
6,72.97480895,19.18539994,1
7,72.97478481,19.1854197,1
8,72.97476442,19.18539108,1
9,72.97472776,19.18541011,1
10,72.97534029,19.18557457,1
11,72.97534991,19.18555278,1
12,72.97540011,19.18556632,1
13,72.97547181,19.1855882,1
14,72.9755049,19.18559445,1
15,72.9755105,19.18561782,1
16,72.975502,19.18564435,1
17,72.97545225,19.18570999,1
18,72.97543769,19.1856795,1
19,72.97540668,19.18561375,1
20,72.97537829,19.18555296,1
21,72.97535977,19.18549881,1
22,72.97548582,19.18569542,1
23,72.97550109,19.18564819,1
24,72.97551372,19.18560245,1
25,72.97552365,19.18557647,1
26,72.97553009,19.1855519,1
27,72.97553337,19.18560396,1
28,72.97557119,19.18561434,1
29,72.97560338,19.18562422,1
30,72.9756302,19.18563106,1
31,72.97558165,19.18561814,1
32,72.97554786,19.18560826,1
33,72.9755269,19.18560087,1
34,72.9755269,19.18561718,1
35,72.97552373,19.18563415,1
36,72.97556543,19.18564516,1
37,72.97560822,19.18565651,1
38,72.97567599,19.18567377,1
39,72.97568991,19.18564678,1
40,72.97571549,19.18562698,1
41,72.97581252,19.185668,1
42,72.97555601,19.18558404,1
43,72.97556781,19.18560367,1
44,72.97553898,19.18559835,1
45,72.97566123,19.18561253,1
46,72.97568465,19.18563555,1
47,72.97578132,19.18564195,1
48,72.97583774,19.18571904,1
49,72.97583854,19.18571131,1
50,72.97584502,19.1856915,1
51,72.97586573,19.185697,2
52,72.97589124,19.18569788,2
53,72.97588065,19.1857355,2
54,72.97589448,19.18571925,2
55,72.97594415,19.18572881,2
56,72.97593767,19.18570307,2
57,72.9760161,19.18572337,2
58,72.97604239,19.18572248,2
59,72.97605518,19.18574813,2
60,72.97609411,19.1857589,2
61,72.97613879,19.18577202,2
62,72.97617071,19.18577988,2
63,72.97619266,19.18578719,2
64,72.97622211,19.18579306,2
65,72.97624746,19.18580148,2
66,72.97626264,19.18580441,2
67,72.97628537,19.18581352,2
68,72.97626941,19.18580706,2
69,72.97632489,19.18582303,2
70,72.97634018,19.18582708,2
71,72.97635094,19.18582993,2
72,72.97634772,19.18584158,2
73,72.97634151,19.18585845,2
74,72.9763345,19.18587478,2
75,72.97635506,19.18581917,2
76,72.97636113,19.18579886,2
77,72.97636328,19.18578341,2
78,72.97636006,19.18583256,2
79,72.97638849,19.18583889,2
80,72.97640834,19.18584446,2
81,72.97642846,19.18585029,2
82,72.97646718,19.18586027,2
83,72.97648622,19.18586508,2
84,72.97650044,19.18586989,2
85,72.9765164,19.18587407,2
86,72.9764767,19.185883,2
87,72.97648163,19.18588937,2
88,72.97643073,19.18586845,2
89,72.97636982,19.18586204,2
90,72.97638645,19.18582126,2
91,72.97641908,19.18582036,2
92,72.97645212,19.18584136,2
93,72.97650308,19.18584796,2
94,72.97657572,19.18587775,2
95,72.9766295,19.18588868,2
96,72.97667134,19.18590692,2
97,72.97664439,19.18590388,2
98,72.97662077,19.18591769,2
99,72.97657363,19.18591672,2
100,72.97691269,19.18596673,2
101,72.97694705,19.18597544,3
102,72.97698224,19.18597623,3
103,72.97700319,19.18599522,3
104,72.97687247,19.1859604,3
105,72.97688168,19.1859509,3
106,72.97692107,19.18595644,3
107,72.97686325,19.18596119,3
108,72.97690347,19.1859699,3
109,72.97701576,19.18601422,3
110,72.9769571,19.18597385,3
111,72.97698643,19.1860063,3
112,72.97697219,19.18600155,3
113,72.9769571,19.18599839,3
114,72.97693886,19.18599281,3
115,72.97692921,19.18598977,3
116,72.97690721,19.18598369,3
117,72.97689595,19.18598116,3
118,72.97688522,19.18597964,3
119,72.97690936,19.18598572,3
120,72.97690829,19.18598863,3
121,72.97691016,19.18598382,3
122,72.97689949,19.18598379,3
123,72.97690164,19.18598138,3
124,72.97689219,19.18598409,3
125,72.976893,19.18598155,3
126,72.97687704,19.18597972,3
127,72.97687757,19.18597668,3
